run,airline,num flights,initial,max_reduction,udpp,model,offers
0,total,50,21207.611631291948,17393.215806656313,19134.07617495087,18940.794998023463,3
0,D,5,1663.369448889019,1648.061305599515,1546.7148479452362,1546.7148479452364,0
0,H,3,1184.4041886710365,1137.3736610167325,1184.4041886710365,1184.4041886710365,0
0,M,1,1.2228226728075613,0.0,1.2228226728075613,1.2228226728075613,0
0,J,2,308.70963188414015,296.34198446843243,308.70963188414015,308.70963188414015,0
0,N,1,8.780211353265843,8.780211353265843,8.780211353265843,8.780211353265843,0
0,F,4,192.46484720894333,185.05249112476383,155.63296411924887,155.63296411924887,0
0,B,6,2126.970593322742,2126.1284699029165,2109.460518389933,2077.3985860586986,1
0,A,7,3326.2183492385493,3129.7669135674373,2972.712673408842,2949.7657073388195,1
0,E,5,2209.958550587645,2200.3167264300005,1755.6886418514493,1661.6211509401014,1
0,I,3,880.9968011345055,873.4758527376176,744.6937155385028,744.6937155385028,0
0,C,5,2026.2500530231378,2020.2228660417204,1769.4650133705666,1737.9935203217597,2
0,L,1,291.7587044707171,72.93967611767927,291.7587044707171,291.7587044707171,0
0,K,2,1187.4543136139555,943.6224115709542,1187.4543136139555,1174.721019047957,1
0,G,4,3984.04441984783,2335.9800190689252,3282.369232287513,3282.3692322875136,0
0,O,1,1815.0086953736566,415.1532176563562,1815.0086953736566,1815.0086953736566,0
1,total,50,22736.69373496781,18804.31355541064,20362.488865312866,20362.488865312862,0
1,L,2,378.85402349503784,378.85402349503784,378.85402349503784,378.85402349503784,0
1,E,5,3184.207612386297,3012.763416946944,2675.5125583318013,2675.5125583318013,0
1,A,7,2120.9127740639374,2099.560477930831,2040.3406860732875,2040.3406860732875,0
1,K,2,391.53948337004937,88.72621670104886,391.53948337004937,391.53948337004937,0
1,H,3,1261.7254213022136,1253.5396065176233,1261.7254213022136,1261.7254213022136,0
1,C,5,1539.4875971526,1497.682349859365,1353.0296527712426,1353.0296527712426,0
1,N,1,59.75344445599793,18.44242112839442,36.14714541165307,36.14714541165307,0
1,O,1,41.3617761459979,41.3617761459979,41.3617761459979,41.3617761459979,0
1,G,4,2532.8757111429722,2504.178958458232,2242.84462493559,2242.84462493559,0
1,I,2,347.45839336841954,344.9211739054325,347.45839336841954,347.45839336841954,0
1,B,6,2403.703351260384,2390.0367306710114,2205.6712519693638,2205.6712519693638,0
1,F,4,2452.2195382324576,2443.6620776855502,1924.4841856492437,1924.4841856492437,0
1,D,5,4477.268242617577,2086.4183206273156,3918.1932965150986,3918.1932965150986,0
1,J,2,1365.529724342354,464.3693637063559,1365.529724342354,1365.529724342354,0
1,M,1,179.79664163150977,179.79664163150977,179.79664163150977,179.79664163150977,0
2,total,50,25116.572680113313,19600.274523691583,21802.096727735236,21536.840713649315,1
2,J,2,113.08266530927783,32.78728165771961,113.08266530927783,113.08266530927783,0
2,E,5,2775.0226405761605,2757.213824724674,1871.337723373352,1871.3377233733522,0
2,N,1,3.2028446487697817,3.2028446487697817,3.2028446487697817,3.2028446487697817,0
2,B,6,3096.37885869793,3094.6499070497994,2404.203492141911,2404.203492141911,0
2,O,1,4.767374960875519,4.767374960875519,4.767374960875519,4.767374960875519,0
2,A,7,3237.0038471354414,3223.4225275374183,2928.1570608681213,2914.1635885487844,1
2,I,3,754.211748016801,303.6291363595228,754.211748016801,754.211748016801,0
2,D,5,2088.291741158201,2073.000815106644,1790.74774061364,1790.74774061364,0
2,H,3,485.9300119194038,175.0766422168587,485.9300119194038,485.9300119194038,0
2,F,4,1721.9249141412208,1711.8048503800105,1721.9249141412208,1470.6623723746393,1
2,K,2,1096.2829114626209,189.24095760286215,1096.2829114626209,1096.2829114626209,0
2,C,6,5218.30579261142,3948.561059503031,4111.762472027487,4111.762472027488,0
2,L,1,216.6301573534172,216.6301573534172,216.6301573534172,216.6301573534172,0
2,M,1,326.61015143752087,326.61015143752087,326.61015143752087,326.61015143752087,0
