run,airline,num flights,initial,max_reduction,udpp,model,offers
0,total,70,63459.60167861394,51298.7435131725,56074.5071985597,55966.06353609167,1
0,K,3,1513.1678292359732,1513.1678292359732,1513.1678292359732,1513.1678292359732,0
0,A,9,8069.213414070666,8060.209123592537,7181.122903163303,7181.122903163303,0
0,C,7,7860.400932491071,4729.924748452759,7175.971312756152,7175.971312756151,0
0,I,4,2945.470873337304,1773.8038805867102,2945.470873337304,2945.470873337304,0
0,N,2,2073.1153219499643,1011.1938314147219,2073.1153219499643,2073.1153219499643,0
0,G,5,5952.544384461308,5914.031021734005,4889.15765363361,4889.15765363361,0
0,J,3,2963.3476816573975,2304.3045487416343,2963.3476816573975,2963.3476816573975,0
0,H,4,4088.9376838280505,3487.7693835850773,4065.211155522679,4065.211155522679,0
0,D,6,7592.885702690643,4469.533631729506,5795.238849657163,5795.238849657163,0
0,M,2,850.4944355921642,202.11964452867358,850.4944355921642,850.4944355921642,0
0,F,5,5751.837018835302,5733.99975627066,4135.216995398424,4062.925402211591,1
0,S,1,114.58158592972676,114.58158592972676,114.58158592972676,114.58158592972676,0
0,B,7,4637.659924816275,4626.34253050088,3638.3906033503667,3638.3906033503667,0
0,E,5,1537.5471309143495,1531.1556900933883,1423.3506080916827,1387.198538810489,1
0,L,2,921.1145687385825,914.8038816328858,723.386199218624,723.386199218624,0
0,Q,1,323.3434002158423,323.3434002158423,323.3434002158423,323.3434002158423,0
0,P,1,649.0163334519355,649.0163334519355,649.0163334519355,649.0163334519355,0
0,R,1,2552.6799335131113,877.1991685913071,2552.6799335131113,2552.6799335131113,0
0,T,1,1246.313357655665,1246.313357655665,1246.313357655665,1246.313357655665,0
0,O,1,1815.9301652286,1815.9301652286,1815.9301652286,1815.9301652286,0
1,total,70,64311.46196876886,54113.37686760215,61518.57357988375,60176.56434034093,3
1,I,4,4570.507116992103,3452.217620443915,4570.507116992103,4570.507116992103,0
1,A,9,7747.570365736143,7720.772429213057,7067.370262024982,6655.173728569311,1
1,B,7,5158.871134816061,4770.0337621764265,4875.629895832897,4753.757508673936,1
1,F,5,3917.017907085722,3909.688011107779,3864.0336932922146,3864.0336932922146,0
1,L,3,234.91646787376737,232.32281656590638,234.91646787376737,234.91646787376737,0
1,G,4,1326.9896959327043,428.7801268033163,1326.9896959327043,1326.9896959327043,0
1,P,1,20.286628594060044,20.286628594060044,20.286628594060044,20.286628594060044,0
1,D,6,4757.450346800083,4744.9462684163245,4216.197299727756,3970.922189934442,1
1,T,1,28.936393850305976,28.936393850305976,28.936393850305976,28.936393850305976,0
1,E,5,3759.826561065496,3756.7563324790776,3058.288106701323,3058.288106701323,0
1,J,4,4001.382446227125,3997.9158908320983,3747.2024541826113,3548.0463990362623,1
1,C,6,4865.15437006589,4835.702420430903,4865.15437006589,4758.533513184511,1
1,H,4,8249.901031644593,5942.514090572139,8188.677875798054,7931.789578690887,1
1,O,1,658.9571398862569,176.2964999695693,658.9571398862569,658.9571398862569,0
1,S,1,727.028311178884,343.6344752056444,727.028311178884,727.028311178884,0
1,Q,1,459.2256141387803,459.2256141387803,459.2256141387803,459.2256141387803,0
1,N,2,2800.3131051537557,1101.4531127185178,2800.3131051537557,2800.3131051537557,0
1,K,3,3666.590045973633,3637.820340318265,3448.321862903911,3448.321862903911,0
1,M,2,3973.025128424464,3381.9244983580907,3973.025128424464,3973.025128424464,0
1,R,1,3387.5121573290226,1172.1495354079661,3387.5121573290226,3387.5121573290226,0
2,total,70,65000.71199332166,51708.290020537825,59076.74178407324,58373.058779946325,3
2,G,5,5633.024424185203,5512.783504417532,4810.116770803215,4810.116770803215,0
2,J,4,2614.5903609959946,2601.501860745384,1956.1202463090876,1956.1202463090876,0
2,D,6,3871.5971369961935,3869.1668169662903,3726.147203355088,3699.4777719296007,1
2,E,6,4255.866024805182,1664.1142603271417,4238.27183188785,4238.27183188785,0
2,I,4,5999.782842884159,3031.9089869882982,5999.782842884159,5999.782842884159,0
2,O,1,18.467687445940786,18.467687445940786,18.467687445940786,18.467687445940786,0
2,F,6,4089.6319545332162,4068.6249696850164,3000.29662254969,3000.2966225496893,0
2,A,7,6485.210672721536,3755.579783778026,6368.328841969344,6368.328841969345,0
2,C,7,4677.994110803051,4674.184910963106,3992.8747037413423,3965.3990584714224,1
2,B,7,8325.831784509843,8319.991253329204,7210.178801669442,7089.743784638146,1
2,M,2,1128.7041987471093,1110.1203709248243,1128.7041987471093,883.8141595783482,1
2,R,1,120.49784944864837,120.49784944864837,120.49784944864837,120.49784944864837,0
2,N,2,2415.607165347888,1513.6166380220427,2415.607165347888,2415.607165347888,0
2,H,4,2137.236930246912,2130.6420895572105,2137.236930246912,2108.338518378864,1
2,L,2,1706.1178070209348,1702.113021632976,1564.9411694048244,1309.6267100414402,1
2,K,2,3006.3665019745026,2963.590638732127,1874.9843776073467,1874.9843776073467,0
2,S,1,557.1115682066643,557.1115682066643,557.1115682066643,557.1115682066643,0
2,T,1,897.563299384789,897.563299384789,897.563299384789,897.563299384789,0
2,Q,1,3414.6464172883566,1358.5847638962668,3414.6464172883566,3414.6464172883566,0
2,P,1,3644.863255775525,1838.125746086334,3644.863255775525,3644.863255775525,0
3,total,70,63645.03387451464,52864.81249764194,59115.57838091598,58871.5858666895,2
3,E,6,6376.514106965348,6318.875585460528,5710.120267738638,5710.120267738637,0
3,C,6,7664.713482294061,5431.7365717738185,7413.946702459671,7245.650421591776,1
3,O,1,1.2113280018845887,1.2113280018845887,1.2113280018845887,1.2113280018845887,0
3,K,3,33.1253530200058,31.226614321874536,32.49410981304252,32.49410981304252,0
3,J,3,1063.9547604171548,1062.6335033613325,1063.9547604171548,1063.9547604171548,0
3,G,5,3700.895038920542,3691.2105157305823,2963.4202538206064,2963.4202538206064,0
3,F,6,2548.435388865911,2546.392078365867,2497.4345866383633,2471.3220657828406,1
3,M,2,2429.346074819418,1022.0702511930117,2429.346074819418,2429.346074819418,0
3,A,8,4609.015678654051,4606.9604368979,4306.536791454501,4306.536791454501,0
3,B,7,9956.120295851792,8271.76425374989,9139.988732678272,9139.47359440996,1
3,I,4,3161.8919451430684,3118.681562044729,3132.5375082849905,3132.5375082849905,0
3,D,6,4725.151771654051,4723.2120922984395,3982.119643881872,3933.0510696471115,1
3,R,1,119.16673555207065,119.16673555207065,119.16673555207065,119.16673555207065,0
3,P,1,311.04939910946854,158.69867301503498,311.04939910946854,311.04939910946854,0
3,H,5,9160.100851491496,7850.8924406632905,8227.909822491709,8227.909822491709,0
3,S,1,637.7971333103229,342.99312502466256,637.7971333103229,637.7971333103229,0
3,Q,1,912.7117744525868,340.85840959494755,912.7117744525868,912.7117744525868,0
3,L,2,2110.097166623007,2091.6439810261036,2110.097166623007,2110.097166623007,0
3,T,1,1959.9940623969187,614.6541379676737,1959.9940623969187,1959.9940623969187,0
3,N,1,2163.741526971488,519.9302015983006,2163.741526971488,2163.741526971488,0
4,total,70,61700.63086429068,52210.78008661795,58402.70781714891,57421.03555094677,3
4,M,2,160.53327767979727,160.53327767979727,160.53327767979727,160.53327767979727,0
4,H,4,304.8471449276766,300.83526410129537,304.8471449276766,304.8471449276766,0
4,A,9,6305.534578758721,6050.311870661607,6002.234551696985,5410.932006351688,1
4,D,6,5278.695553446379,5208.637109592006,4599.095119901068,4599.095119901069,0
4,E,5,3793.801261160301,3638.8257149467986,3623.224266547417,3623.224266547417,0
4,J,3,1466.2229191024037,1429.860508376612,1466.2229191024037,1466.2229191024037,0
4,K,3,2105.8062037988366,1438.3470002125673,2105.8062037988366,2105.8062037988366,0
4,C,6,5171.681413722111,5169.840155145603,4848.543274295081,4779.607689977703,1
4,L,2,1687.2355836186302,579.4942499945619,1687.2355836186302,1687.2355836186302,0
4,I,4,2345.5289152866458,2337.7159282902335,2220.0745785946447,2145.9721247310654,1
4,B,7,6977.013276838345,6974.461153055658,5830.851170217245,5825.540661936804,1
4,N,2,2450.7992381468,1211.6196295840825,2450.7992381468,2450.7992381468,0
4,R,1,354.19181663663056,105.37938346213802,354.19181663663056,354.19181663663056,0
4,G,4,4375.351396364531,4362.415066141515,4375.351396364531,4375.351396364531,0
4,T,1,368.98316242313274,368.98316242313274,368.98316242313274,368.98316242313274,0
4,F,5,6526.550260424853,6452.265900899318,5998.278349516856,5756.257175121419,2
4,O,2,4040.5089106258397,1648.8555610207177,4019.0898123521133,4019.0898123521133,0
4,Q,1,2180.4347374863137,1196.3976611721887,2180.4347374863137,2180.4347374863137,0
4,P,2,2352.8291821471566,2332.5319584476983,2352.8291821471566,2352.8291821471566,0
4,S,1,3454.082031695597,1243.469531410415,3454.082031695597,3454.082031695597,0
5,total,70,53669.1534371264,45233.85251205372,50893.5047020348,0.0,17
5,B,7,5191.950138925084,3867.3564177341327,4642.567691755568,0.0,3
5,T,1,0.3924568749651161,0.3924568749651161,0.3924568749651161,0.0,0
5,D,6,3027.3188916492527,3015.036339874585,2551.3858180352818,0.0,3
5,A,8,4080.315459418904,4079.0584124245106,3730.5866258548563,0.0,4
5,F,5,5857.580236684211,2866.8729438820055,5646.192869792825,0.0,2
5,N,2,233.448716435373,231.76373463662193,233.448716435373,0.0,1
5,O,1,23.56472667423517,23.56472667423517,23.56472667423517,0.0,0
5,C,7,5500.745823976267,5229.866053803895,4745.409924610739,0.0,3
5,I,4,2133.0298654094104,2131.978416086267,2133.0298654094104,0.0,2
5,Q,1,106.73765706712001,26.684414266780003,106.73765706712001,0.0,0
5,J,3,2392.4619377305785,1983.2279447219134,2392.4619377305785,0.0,1
5,L,3,831.7501699055847,814.4681736049544,831.7501699055847,0.0,1
5,H,4,1569.934175402066,1561.3634966241248,1372.6374907092566,0.0,2
5,E,6,8040.230697156575,7380.764758380141,8025.860803233494,0.0,3
5,R,1,462.15972817356885,462.15972817356885,462.15972817356885,0.0,0
5,S,1,1125.7482769984454,405.2693797194403,1125.7482769984454,0.0,0
