run,airline,num flights,initial,max_reduction,udpp,model,offers
0,total,70,63372.99927571097,52696.99067068272,59826.598085858306,59221.868871120525,2
0,G,5,2497.696789779161,2494.3669889098187,2092.950845097028,2092.950845097028,0
0,C,6,2415.4447688307564,2412.045833886147,2376.9031968612526,2376.9031968612526,0
0,F,5,2278.9753092557885,2276.8074099551945,2278.9753092557885,2278.9753092557885,0
0,A,8,6873.1730343123345,6870.8376911850255,6599.224650362394,6040.317336872217,2
0,H,4,4095.1383005669622,2089.6347175392384,4095.1383005669622,4095.1383005669622,0
0,N,2,1631.0013746919624,628.8903041303242,1631.0013746919624,1631.0013746919624,0
0,I,4,5820.268096955827,3493.8711350527046,5820.268096955827,5820.268096955827,0
0,L,3,3829.303710872734,2450.3808616966903,3829.303710872734,3829.303710872734,0
0,D,6,5786.898371451132,5750.791756182501,5169.613313180604,5169.613313180604,0
0,P,1,106.22471065877338,11.802745628752596,106.22471065877338,106.22471065877338,0
0,E,5,4451.25349116983,4403.507695154678,4388.474614745469,4367.239281250555,1
0,K,3,5281.9855223144295,4677.871593922275,5235.327756472669,5235.327756472669,0
0,B,7,6822.952243747368,6822.433702214241,5506.568535252308,5481.981967499631,1
0,Q,1,373.69197349490315,49.413814677011985,308.8363417313249,308.8363417313249,0
0,M,2,635.7407000391019,620.7917242727331,596.8749220513803,596.8749220513803,0
0,J,4,4432.543346303384,4420.154861676479,3750.2048758353026,3750.2048758353026,0
0,R,1,675.8611332165486,253.8874808440937,675.8611332165486,675.8611332165486,0
0,T,1,917.1996249574754,917.1996249574754,917.1996249574754,917.1996249574754,0
0,S,1,2309.3906353226107,620.906124174529,2309.3906353226107,2309.3906353226107,0
0,O,1,2138.2561377698894,1431.3946046228186,2138.2561377698894,2138.2561377698894,0
1,total,70,61802.24435635196,50195.86442899359,57051.57143853848,55370.81214551458,4
1,B,7,5165.734640314407,5160.803044996987,4817.992623588694,4817.992623588694,0
1,F,5,4688.554164444283,4396.743004765977,3650.048407234013,3650.048407234013,0
1,C,6,7274.614689400147,2858.1046066705544,7274.614689400147,7274.614689400147,0
1,J,3,130.22420364563249,125.30353776188413,105.52709017739303,105.52709017739303,0
1,M,3,859.3203220516573,299.6098425161921,859.3203220516573,859.3203220516573,0
1,O,2,108.08467326962162,102.19919310666009,108.08467326962162,108.08467326962162,0
1,A,8,6660.240243517308,6647.873326598894,6572.8935232733365,6507.966223976877,2
1,G,4,5997.742776150506,2896.6535540154136,5997.742776150506,5865.376216485007,1
1,D,6,6404.839442966919,6393.587868868644,4878.651270865108,4413.198833194572,1
1,I,3,2741.3969513559246,2733.089726176497,2711.546457970417,2711.546457970417,0
1,S,1,230.60017683396464,64.63188347249528,179.53300964582021,179.53300964582021,0
1,E,6,2141.579805795094,2139.006443656083,1970.5430289998126,1795.0343294840332,2
1,K,3,4058.8035798057745,3971.5473066484738,4058.8035798057745,3796.7945708803154,1
1,H,4,5821.04780890475,5796.25340665755,4346.809108210188,4346.809108210189,0
1,N,2,2277.4997109395626,1151.1048374575741,2277.4997109395626,2277.4997109395626,0
1,P,1,867.8836127141931,274.6037993353502,867.8836127141931,867.8836127141931,0
1,T,1,482.66699553814584,482.66699553814584,482.66699553814584,482.66699553814584,0
1,L,3,3589.484923709325,3170.719033547135,3589.484923709325,3008.9896357591633,1
1,R,1,861.9553376543249,861.9553376543249,861.9553376543249,861.9553376543249,0
1,Q,1,1439.9702973404324,669.4076795487547,1439.9702973404324,1439.9702973404324,0
2,total,70,58707.424956279785,48362.14794938759,53864.77062798525,53171.58156684517,5
2,M,2,1322.5020731780598,885.3113051853127,1322.5020731780598,1322.5020731780598,0
