run,airline,num_flights,initial,max_reduction,udpp,model,offers
0,total,50,21316.64087481036,18072.799816034647,19601.051652549057,19514.150726428823,1
0,B,6,2868.140251547734,2837.289046872445,2324.496395818699,2305.4453149254705,1
0,G,4,2310.175207137925,2290.214802618745,1796.034215587434,1796.034215587434,0
0,D,5,2060.8688907322257,1302.2667810200953,2058.8384694393976,2058.8384694393976,0
0,H,3,699.423814550073,638.6179765289639,698.2989806483235,698.2989806483235,0
0,A,7,1865.389979834335,1859.9776583102775,1745.0232413188746,1745.0232413188746,0
0,K,2,737.5711842380737,737.5711842380737,737.5711842380737,737.5711842380737,0
0,C,5,1642.0877011176228,1636.401579520122,1636.0529153868692,1636.0529153868692,0
0,F,5,1456.3638424862447,1438.98392123435,1236.4780014791966,1236.4780014791963,0
0,E,5,2449.0311620701436,2416.905361600778,2140.6694075361997,2072.819562309196,1
0,J,2,1028.3244807749506,481.4207008624071,1028.3244807749506,1028.3244807749506,0
0,I,2,1706.8326591860155,926.9091524298086,1706.8326591860155,1706.8326591860155,0
0,M,1,225.04845017517653,225.04845017517653,225.04845017517653,225.04845017517653,0
0,L,1,790.5290963037205,444.6726166708428,790.5290963037205,790.5290963037205,0
0,N,1,1043.591259872828,403.2576891692666,1043.591259872828,1043.591259872828,0
0,O,1,433.2628947832943,433.2628947832943,433.2628947832943,433.2628947832943,0
1,total,50,20905.281707587197,17701.402812046803,19472.060369564635,19350.450547310054,1
1,A,8,2963.6124771493273,2961.169863163212,2635.2250289034314,2535.0003383442063,1
1,G,3,552.8663131592214,524.921385066353,552.8663131592214,552.8663131592214,0
1,C,6,1601.3137132175557,1374.4031819419456,1601.3137132175557,1601.3137132175557,0
1,D,5,621.42992117211,618.2940120200236,507.56355573048404,507.56355573048404,0
1,F,3,489.10072400639433,489.10072400639433,489.10072400639433,489.10072400639433,0
1,N,1,13.66461725255371,6.073163223357204,13.66461725255371,13.66461725255371,0
1,I,2,438.0452554095687,438.0452554095687,438.0452554095687,438.0452554095687,0
1,O,1,19.411306532337935,19.411306532337935,19.411306532337935,19.411306532337935,0
1,H,3,2236.4634490415397,2109.8251123906866,2236.4634490415397,2215.0783173461864,1
1,J,2,1689.9421623106023,668.4839829362727,1689.9421623106023,1689.9421623106023,0
1,M,1,272.02536308801024,97.92913071168368,272.02536308801024,272.02536308801024,0
1,B,6,2624.203711248455,2623.7001542827948,2298.954483588166,2298.9544835881666,0
1,L,2,726.157798639549,726.157798639549,726.157798639549,726.157798639549,0
1,E,5,4227.167289778529,4208.836737213801,3561.4489931037715,3561.4489931037724,0
1,K,2,2429.8776055814433,835.0510045088201,2429.8776055814433,2429.8776055814433,0
3,total,50,19248.367892811933,17010.919210333035,18604.14867707454,18158.75909279807,2
3,B,6,3662.1895952929945,2883.3576845198477,3356.3115383909294,3356.3115383909294,0
3,D,6,1700.192036717146,1689.6718872221818,1700.192036717146,1700.192036717146,0
3,H,3,793.5628848168117,773.5622693359337,793.5628848168117,772.0916914820443,1
3,I,2,67.3723143972358,43.20593574893636,67.3723143972358,67.3723143972358,0
3,E,5,1176.1289474438545,1128.2698989617913,1176.1289474438545,1176.1289474438545,0
3,F,4,1848.7023503828746,1832.1005662401703,1848.7023503828746,1746.1043710911672,1
3,K,1,35.508069036367836,18.116361753248896,35.508069036367836,35.508069036367836,0
3,A,8,4152.617588132642,4126.2614187428035,4033.6723190879147,4033.6723190879147,0
3,C,6,1525.4288764776238,1520.0155195404934,1310.3899980200083,1310.3899980200083,0
3,M,1,208.59052720073984,52.14763180018496,208.59052720073984,208.59052720073984,0
3,J,2,1598.0521639519081,1204.3031820452902,1598.0521639519081,1358.0225619104863,1
3,O,1,155.7096293486339,155.7096293486339,155.7096293486339,155.7096293486339,0
3,G,3,984.4304446502226,978.660555591269,980.0734333172378,898.7826237086636,1
3,L,1,645.6547926853927,286.9576856379523,645.6547926853927,645.6547926853927,0
3,N,1,694.2276722774869,318.57898384429944,694.2276722774869,694.2276722774869,0
4,total,50,21366.526068374136,17898.491889413377,20196.50889394843,19816.207401565367,2
4,B,6,1025.2007480873722,1023.9302943104473,993.3532874118421,993.3532874118421,0
4,F,4,574.1431141687648,573.8434699474701,574.1431141687648,554.3781640060365,1
4,J,2,1474.3964783487309,1414.4412653148493,1474.3964783487309,1474.3964783487309,0
4,D,5,1453.3989780210322,1335.438949826812,1453.3989780210322,1453.3989780210322,0
4,G,3,959.0778500268154,958.1690009484191,959.0778500268154,952.5052195544595,1
4,H,3,1104.1379157195674,289.8525185347329,1052.394583975613,1052.394583975613,0
4,L,2,630.9223044152911,620.8711632514508,585.9812613024176,585.9812613024176,0
4,A,7,5672.165597822703,4421.283094783003,4917.981997304889,4654.711931996948,1
4,C,6,2616.54782716407,2607.549122844186,2442.5961567887625,2442.5961567887625,0
4,K,2,305.45846718738755,305.45846718738755,305.45846718738755,305.45846718738755,0
4,E,5,2894.1774494551237,2880.8342563798233,2780.8273814548975,2690.133535014858,1
4,I,2,342.8666560858869,339.76570517672997,342.8666560858869,342.8666560858869,0
4,M,1,279.8243906399641,279.8243906399641,279.8243906399641,279.8243906399641,0
4,N,1,262.56327432062756,262.56327432062756,262.56327432062756,262.56327432062756,0
4,O,1,1771.6450169107995,584.6669159474753,1771.6450169107995,1771.6450169107995,0
5,total,50,21581.307005794173,17262.860687928067,19454.66433705468,19454.66433705468,0
5,E,4,789.9665629449778,782.3082340674682,789.9665629449778,789.9665629449778,0
5,F,4,1074.1099331211449,1066.9626157847645,1072.9991955306823,1072.9991955306823,0
