run,airline,num_flights,initial,max_reduction,udpp,model,offers
0,total,70,63953.058001785445,50938.599571026134,57804.841947129105,56409.945053869706,3
0,B,7,6473.30192016107,2415.114160740657,6325.7623019441635,5916.809327548923,1
0,A,7,3971.844543969264,3964.1281213332227,3861.91515298962,3835.221040827132,2
0,L,3,878.3791673091929,417.720443685315,878.3791673091929,878.3791673091929,0
0,N,2,260.7645110376249,257.3967561225379,260.7645110376249,260.7645110376249,0
0,M,3,3478.115843692064,3213.12894463306,2496.0659809225845,2496.0659809225845,0
0,E,5,4663.64879125297,4662.8630225536945,4120.895272362357,4110.8211190830425,1
0,D,6,4621.622004937372,4589.178191345689,4572.135361797418,4572.135361797418,0
0,C,6,5322.658233565666,5121.548941840527,4938.453614313794,4938.453614313794,0
0,G,5,4551.671414833165,4504.649916965707,4348.18924298721,4061.777289858287,1
0,F,5,5553.284545753475,5007.641286163561,4490.289422378016,4490.289422378016,0
0,K,3,2651.0304242884563,2637.3813610172615,2629.489207097941,2629.489207097941,0
0,I,4,4632.096000459327,2413.272738117418,3808.3594803610176,3808.359480361018,0
0,J,3,4005.8624613243555,3976.187924409335,3707.5781235913764,3044.8144232979407,1
0,Q,1,219.56235401741768,43.37034153430473,219.56235401741768,219.56235401741768,0
0,S,1,248.7816086693698,55.82080416127134,248.7816086693698,248.7816086693698,0
0,O,2,1060.8590549501268,1043.0238201847844,1060.8590549501268,1060.8590549501268,0
0,R,1,458.1043742726762,155.88273846778563,458.1043742726762,458.1043742726762,0
0,T,1,690.2932714614833,690.2932714614833,690.2932714614833,690.2932714614833,0
0,P,1,903.2952777368811,903.2952777368811,903.2952777368811,903.2952777368811,0
0,H,4,9307.882198093484,4866.7015085516505,7785.669166928839,7785.669166928839,0
2,total,70,65780.67938627959,55345.446219951875,61677.7738321765,61039.26984618333,3
2,T,1,0.0,0.0,0.0,0.0,0
2,S,1,0.2948410824511766,0.2948410824511766,0.2948410824511766,0.2948410824511766,0
2,B,7,7512.026716390093,7507.228161202294,6621.957778623354,6281.571565550633,1
2,O,2,940.4799757963483,674.7465335591257,940.4799757963483,940.4799757963483,0
