run,airline,num_flights,initial,max_reduction,udpp,model,offers
0,total,50,23812.951639857776,21104.488402281822,22666.841604083478,22514.321203161835,2
0,C,6,1774.6585578060317,1736.8955039877633,1730.5277656066066,1654.8682466063033,1
0,A,6,1939.7374382325315,1176.2059930646078,1939.7374382325315,1939.7374382325315,0
0,K,2,1653.914878309765,913.7235055699185,1653.914878309765,1653.914878309765,0
0,E,5,2307.169355437175,2292.1947701947092,1958.6044482176849,1958.6044482176849,0
0,H,3,446.74100241656714,445.9479268411162,446.74100241656714,446.74100241656714,0
0,F,5,2923.52584157562,2900.631464784794,2770.7480794900966,2770.7480794900966,0
0,B,6,3562.852644988754,3535.91325361932,3485.5265366106487,3485.5265366106487,0
0,I,2,457.209996396917,152.72642214108845,457.209996396917,457.209996396917,0
0,D,6,4252.062327660392,4051.1686068781673,3925.6431479445346,3873.785913462133,2
0,J,2,1013.0586407299654,826.9514274853971,1013.0586407299654,1013.0586407299654,0
0,G,3,910.3583429205645,906.2902198033041,713.467056744669,688.4634093057311,1
0,M,1,83.8245013782484,83.8245013782484,83.8245013782484,83.8245013782484,0
0,O,1,571.5344885395332,165.7111830676753,571.5344885395332,571.5344885395332,0
0,N,1,1042.64902754483,1042.64902754483,1042.64902754483,1042.64902754483,0
0,L,1,873.6545959208803,873.6545959208803,873.6545959208803,873.6545959208803,0
1,total,50,23807.16043608707,20443.961205975258,22035.594208905233,21544.718190768144,1
1,O,1,0.0,0.0,0.0,0.0,0
1,B,6,2441.6206002728045,2010.6977119266921,2100.3277809828123,2100.3277809828123,0
1,C,6,4926.116315065491,4567.133246002195,4517.310071680641,4517.310071680641,0
1,A,8,4050.1065193275044,3949.3625495412603,3388.949382257664,3154.954409607201,1
1,E,4,1185.1033069920393,745.9198686420302,1146.250105360737,1146.250105360737,0
1,F,4,860.2026225139683,849.7951802064641,860.2026225139683,860.2026225139683,0
1,G,4,2146.8499179632367,2064.2038029578616,2089.0914612573515,1832.210415770723,1
1,N,1,62.25137483386752,62.25137483386752,62.25137483386752,62.25137483386752,0
1,I,2,499.77623144558413,493.9351953350048,400.29481991908807,400.29481991908807,0
1,J,2,969.380394530377,969.380394530377,969.380394530377,969.380394530377,0
1,D,6,2087.4106292944234,2084.754738385637,1923.1936717209592,1923.1936717209592,0
1,H,3,2250.0915956104395,975.6159743686387,2250.0915956104395,2250.0915956104395,0
1,M,1,489.4367992615957,489.4367992615957,489.4367992615957,489.4367992615957,0
1,L,1,443.40867567672905,443.40867567672905,443.40867567672905,443.40867567672905,0
1,K,1,1395.4054532990076,738.0656943069131,1395.4054532990076,1395.4054532990076,0
2,total,50,21200.104126697468,17537.579229896193,18888.13268853673,18770.566432033185,2
2,A,7,3507.757218564468,2469.0946885053845,2966.312537544044,2902.680560630798,2
2,F,4,1532.6323408560436,1443.1112011218006,1328.297553991943,1328.297553991943,0
2,D,5,2242.7895422529746,2230.71752586154,1954.4214816696021,1927.2943178631467,1
2,B,6,2915.5858772048987,2165.9861010019185,2482.678087413813,2482.678087413813,0
2,L,1,12.734226217879716,3.183556554469929,12.734226217879716,12.734226217879716,0
2,I,3,852.9082617483465,847.1410596977553,852.9082617483465,852.9082617483465,0
2,J,2,510.6948131678728,501.80012466665426,510.6948131678728,510.6948131678728,0
2,E,4,1731.7322984083266,1685.2105317148007,1440.668537791476,1440.6685377914762,0
2,N,1,47.407807010480624,11.851951752620156,47.407807010480624,47.407807010480624,0
2,C,6,2037.0681637219413,1864.9955570992702,1859.341609020094,1859.341609020094,0
2,G,4,710.1440152130234,703.1347457902675,587.19364481942,560.3865290355741,1
2,K,2,1133.3147598412186,1113.3626601809628,1133.3147598412186,1133.3147598412186,0
2,H,3,2973.868075619038,1506.5227990777864,2720.6926414295795,2720.6926414295795,0
2,O,1,347.12021152749764,347.12021152749764,347.12021152749764,347.12021152749764,0
2,M,1,644.3465153434648,644.3465153434648,644.3465153434648,644.3465153434648,0
3,total,50,20739.931516500503,17213.947149622796,18341.93550735315,18341.93550735315,0
3,F,5,2655.859581878748,2640.0971578931803,2285.3807252771303,2285.3807252771303,0
3,B,6,1365.3938273379435,1348.697335568867,1170.0295043922033,1170.0295043922033,0
3,A,6,3107.5419524785752,1998.4857934962815,2597.2364439542234,2597.2364439542234,0
